Processus biologique	Protéine	Relation
Cluster général	 negative regulation of synaptic transmission, GABAergic [GO:0032229]	générale
Cluster général	 chromatin remodeling [GO:0006338]	générale
Cluster général	 regulation of bile acid biosynthetic process [GO:0070857]	générale
Cluster général	 positive regulation of chromatin silencing [GO:0031937]	générale
Cluster général	 cellular response to drug [GO:0035690]	générale
Cluster général	xenobiotic metabolic process [GO:0006805]	générale
Cluster général	 cognition [GO:0050890]	générale
Cluster général	 pyroptosis [GO:0070269]	générale
Cluster général	 sodium ion transmembrane transport [GO:0035725]	générale
Cluster général	 membrane repolarization during ventricular cardiac muscle cell action potential [GO:0098915]	générale
Cluster général	 positive regulation of synapse assembly [GO:0051965]	générale
Cluster général	 DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]	générale
Cluster général	dendritic spine development [GO:0060996]	générale
Cluster général	 positive regulation of interleukin-1 beta production [GO:0032731]	générale
Cluster général	cytoplasmic sequestering of protein [GO:0051220]	générale
Cluster général	 negative regulation of telomere maintenance via telomerase [GO:0032211]	générale
Cluster général	 regulation of B cell apoptotic process [GO:0002902]	générale
Cluster général	 positive regulation of protein ubiquitination [GO:0031398]	générale
Cluster général	extrinsic apoptotic signaling pathway [GO:0097191]	générale
Cluster général	 regulation of histone phosphorylation [GO:0033127]	générale
Cluster général	 negative regulation of cholesterol efflux [GO:0090370]	générale
Cluster général	 regulation of kidney size [GO:0035564]	générale
Cluster général	 heart looping [GO:0001947]	générale
Cluster général	 epithelial-mesenchymal signaling involved in prostate gland development [GO:0060738]	générale
Cluster général	 negative regulation of blood pressure [GO:0045776]	générale
Cluster général	 meiotic spindle elongation [GO:0051232]	générale
Cluster général	 striated muscle contraction [GO:0006941]	générale
Cluster général	 hemoglobin metabolic process [GO:0020027]	générale
Cluster général	 regulation of GTPase activity [GO:0043087]	générale
Cluster général	 cellular response to mechanical stimulus [GO:0071260]	générale
Cluster général	 negative regulation of myeloid cell apoptotic process [GO:0033033]	générale
Cluster général	 negative regulation of thymocyte aggregation [GO:2000399]	générale
Cluster général	 prostate gland growth [GO:0060736]	générale
Cluster général	 positive regulation of protein kinase activity [GO:0045860]	générale
Cluster général	 negative regulation of acute inflammatory response [GO:0002674]	générale
Cluster général	cellular iron ion homeostasis [GO:0006879]	générale
Cluster général	 chromatin assembly [GO:0031497]	générale
Cluster général	 negative regulation of protein binding [GO:0032091]	générale
Cluster général	 positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903378]	générale
Cluster général	 G1/S transition of mitotic cell cycle [GO:0000082]	générale
Cluster général	 axon guidance [GO:0007411]	générale
Cluster général	 daunorubicin metabolic process [GO:0044597]	générale
Cluster général	 long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]	générale
Cluster général	 cell surface receptor signaling pathway [GO:0007166]	générale
Cluster général	 multicellular structure septum development [GO:0080125]	générale
Cluster général	 cell aging [GO:0007569]	générale
Cluster général	binding of sperm to zona pellucida [GO:0007339]	générale
Cluster général	 negative regulation of calcium ion transport into cytosol [GO:0010523]	générale
Cluster général	long-chain fatty acid metabolic process [GO:0001676]	générale
Cluster général	 female pregnancy [GO:0007565]	générale
Cluster général	 optic nerve morphogenesis [GO:0021631]	générale
Cluster général	 cerebellum development [GO:0021549]	générale
Cluster général	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]	générale
Cluster général	alanyl-tRNA aminoacylation [GO:0006419]	générale
Cluster général	 activation of MAPK activity [GO:0000187]	générale
Cluster général	adult feeding behavior [GO:0008343]	générale
Cluster général	 dopamine metabolic process [GO:0042417]	générale
Cluster général	 biosynthetic process [GO:0009058]	générale
Cluster général	 regulation of neuron projection development [GO:0010975]	générale
Cluster général	 cloacal septation [GO:0060197]	générale
Cluster général	 negative regulation of gene expression [GO:0010629]	générale
Cluster général	 pyrimidine nucleoside catabolic process [GO:0046135]	générale
Cluster général	 regulation of smooth muscle contraction [GO:0006940]	générale
Cluster général	 forebrain morphogenesis [GO:0048853]	générale
Cluster général	 lipid storage [GO:0019915]	générale
Cluster général	 regulation of ossification [GO:0030278]	générale
Cluster général	 regulation of protein heterodimerization activity [GO:0043497]	générale
Cluster général	 pattern specification process [GO:0007389]	générale
Cluster général	 lymphatic endothelial cell differentiation [GO:0060836]	générale
Cluster général	 fungiform papilla formation [GO:0061198]	générale
Cluster général	 regulation of Wnt signaling pathway [GO:0030111]	générale
Cluster général	 positive regulation of endothelial cell proliferation [GO:0001938]	générale
Cluster général	 peroxisome fission [GO:0016559]	générale
Cluster général	 blood coagulation, intrinsic pathway [GO:0007597]	générale
