Famille	Protéine	Relation
Cluster général	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	générale
Cluster général	3-hydroxyisobutyrate dehydrogenase family	générale
Cluster général	MLLT11 family	générale
Cluster général	Metallophosphoesterase superfamily, Purple acid phosphatase family	générale
Cluster général	G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM3 sub-subfamily	générale
Cluster général	Multicopper oxidase family	générale
Cluster général	Nuclear hormone receptor family, NR3 subfamily	générale
Cluster général	AB hydrolase superfamily, ABHD17 family	générale
Cluster général	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	générale
Cluster général	Alpha-actinin family	générale
Cluster général	AB hydrolase superfamily, ABHD16 family	générale
Cluster général	Bcl-2 family	générale
Cluster général	5'-nucleotidase type 3 family	générale
Cluster général	Acylphosphatase family	générale
Cluster général	G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM1 sub-subfamily	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1A sub-subfamily	générale
Cluster général	ADRM1 family	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB3 sub-subfamily	générale
Cluster général	Pyrimidine 5'-nucleotidase family	générale
Cluster général	Zyxin/ajuba family	générale
Cluster général	ADAD family	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily	générale
Cluster général	Sodium channel (TC 1.A.1.10) family, Nav1.5/SCN5A subfamily	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily	générale
Cluster général	ADIPOR family	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2B sub-subfamily	générale
Cluster général	AAA ATPase family; Peptidase M41 family	générale
Cluster général	Cytidine and deoxycytidylate deaminase family, ADAT2 subfamily	générale
Cluster général	Intermediate filament family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3A sub-subfamily	générale
Cluster général	ESF2/ABP1 family	générale
Cluster général	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A5 subfamily	générale
Cluster général	G-protein coupled receptor 2 family, LN-TM7 subfamily	générale
Cluster général	Protein kinase superfamily, ADCK protein kinase family	générale
Cluster général	ABC transporter superfamily, ABCB family, Multidrug resistance exporter (TC 3.A.1.201) subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-1/CHRNA1 sub-subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-1/CHRNB1 sub-subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-7/CHRNA7 sub-subfamily	générale
Cluster général	ADPRibase-Mn family	générale
Cluster général	Peptidase M2 family	générale
Cluster général	ABC transporter superfamily	générale
Cluster général	Akirin family	générale
Cluster général	ALB/AFP/VDB family	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily	générale
Cluster général	ABI family	générale
Cluster général	Protein kinase superfamily, Tyr protein kinase family	générale
Cluster général	3-HAO family	générale
Cluster général	Peptidase C2 family	générale
Cluster général	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	générale
Cluster général	G-protein coupled receptor 1 family	générale
Cluster général	MHC class I family	générale
Cluster général	AB hydrolase superfamily, ABHD14 family	générale
Cluster général	Hedgehog family	générale
Cluster général	THEM4/THEM5 thioesterase family	générale
Cluster général	ATP-dependent AMP-binding enzyme family, Bubblegum subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Epsilon/CHRNE sub-subfamily	générale
Cluster général	Fatty acid desaturase type 1 family	générale
Cluster général	Cytidine and deoxycytidylate deaminase family	générale
Cluster général	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	générale
Cluster général	APP family	générale
Cluster général	Type-B carboxylesterase/lipase family	générale
Cluster général	Thioesterase PaaI family	générale
Cluster général	5'(3')-deoxyribonucleotidase family	générale
Cluster général	Acyl coenzyme A hydrolase family	générale
Cluster général	AB hydrolase superfamily, AB hydrolase 4 family	générale
Cluster général	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-4/CHRNB4 sub-subfamily	générale
Cluster général	Adipolin/erythroferrone family	générale
Cluster général	Beta-catenin family	générale
Cluster général	Protein kinase superfamily, Tyr protein kinase family, ABL subfamily	générale
Cluster général	Actin family, ARP1 subfamily	générale
Cluster général	P53 family	générale
Cluster général	5'-AMP-activated protein kinase gamma subunit family	générale
Cluster général	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-2/CHRNA2 sub-subfamily	générale
Cluster général	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1D sub-subfamily	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily	générale
Cluster général	ALG10 glucosyltransferase family	générale
Cluster général	C/M/P thioester hydrolase family	générale
Cluster général	RBR family, Parkin subfamily	générale
Cluster général	AF4 family	générale
Cluster général	ATP-dependent AMP-binding enzyme family	générale
Cluster général	Class-II aminoacyl-tRNA synthetase family, Alax-L subfamily	générale
Cluster général	Peptidase M20A family	générale
Cluster général	ADAT1 family	générale
Cluster général	SLC3A transporter family	générale
Cluster général	Costars family	générale
Cluster général	Class-I pyridoxal-phosphate-dependent aminotransferase family	générale
Cluster général	'GDXG' lipolytic enzyme family	générale
Cluster général	Wnt family	générale
Cluster général	5'-nucleotidase family	générale
Cluster général	Zinc-containing alcohol dehydrogenase family, Class-I subfamily	générale
Cluster général	ABC transporter superfamily, ABCB family, Mitochondrial peptide exporter (TC 3.A.1.212) subfamily	générale
Cluster général	Peptidase S1 family	générale
Cluster général	AAED1 family	générale
Cluster général	AATF family	générale
Cluster général	Peptidase S9C family	générale
Cluster général	Acyl-CoA dehydrogenase family	générale
Cluster général	MRL family	générale
Cluster général	Protein kinase superfamily, Ser/Thr protein kinase family	générale
Cluster général	WD repeat ATG16 family	générale
Cluster général	Centaurin gamma-like family	générale
Cluster général	ADP-dependent glucokinase family	générale
Cluster général	Mitochondrial carrier (TC 2.A.29) family	générale
Cluster général	Aldolase class II family, Adducin subfamily	générale
Cluster général	Phosphatase 2A regulatory subunit B family	générale
Cluster général	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	générale
Cluster général	Protease inhibitor I39 (alpha-2-macroglobulin) family	générale
Cluster général	Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily	générale
Cluster général	Serine esterase family	générale
Cluster général	HIN-200 family	générale
Cluster général	AB hydrolase superfamily	générale
Cluster général	3-beta-HSD family	générale
Cluster général	5'-AMP-activated protein kinase beta subunit family	générale
Cluster général	Sodium channel (TC 1.A.1.10) family, Nav1.1/SCN1A subfamily	générale
Cluster général	Adenylyl cyclase class-4/guanylyl cyclase family	générale
Cluster général	Aconitase/IPM isomerase family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3B sub-subfamily	générale
Cluster général	NOTCH family	générale
Cluster général	AGR family	générale
Cluster général	Alkaline ceramidase family	générale
Cluster général	Ferredoxin--NADP reductase type 1 family	générale
Cluster général	AKAP110 family	générale
Cluster général	Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-2/CHRNB2 sub-subfamily	générale
Cluster général	Adrenomedullin family	générale
Cluster général	Sirtuin family, Class I subfamily	générale
Cluster général	AspA/AstE family, Aspartoacylase subfamily	générale
Cluster général	Succinate/malate CoA ligase beta subunit family; Succinate/malate CoA ligase alpha subunit family	générale
Cluster général	7B2 family	générale
Cluster général	Aldehyde dehydrogenase family	générale
